iter	Passed	Remaining
414	3165	4462
415	3173	4454
416	3179	4445
417	3186	4437
418	3194	4429
419	3200	4419
420	3207	4411
421	3215	4403
422	3223	4396
423	3231	4389
424	3238	4382
425	3246	4374
426	3252	4364
427	3259	4356
428	3266	4347
429	3274	4341
430	3281	4332
431	3290	4325
432	3297	4318
433	3305	4310
434	3312	4302
435	3325	4301
436	3331	4292
437	3338	4283
438	3345	4274
439	3351	4265
440	3358	4256
441	3366	4250
442	3373	4242
443	3381	4234
444	3388	4226
445	3394	4216
446	3402	4209
447	3409	4200
448	3417	4193
449	3424	4185
450	3431	4176
451	3439	4169
452	3448	4164
453	3455	4156
454	3463	4148
455	3470	4140
456	3477	4131
457	3483	4122
458	3490	4113
459	3498	4106
460	3506	4099
461	3514	4092
462	3523	4086
463	3530	4077
464	3539	4072
465	3545	4063
466	3554	4056
467	3562	4049
468	3569	4041
469	3577	4034
470	3585	4027
471	3592	4018
472	3600	4011
473	3606	4001
474	3612	3992
475	3621	3986
476	3626	3976
477	3633	3968
478	3640	3959
479	3648	3952
480	3656	3945
481	3665	3938
482	3673	3931
483	3681	3924
484	3689	3918
485	3699	3912
486	3707	3905
487	3713	3896
488	3720	3887
489	3728	3880
490	3736	3873
491	3744	3866
492	3752	3858
493	3758	3850
494	3765	3841
495	3774	3835
496	3781	3827
497	3790	3820
498	3797	3812
499	3805	3805
500	3811	3796
501	3819	3789
502	3826	3780
503	3833	3773
504	3840	3764
505	3849	3758
506	3857	3750
507	3864	3742
508	3869	3732
509	3877	3725
510	3884	3717
511	3892	3710
512	3899	3701
513	3907	3694
514	3914	3686
515	3921	3677
516	3928	3670
517	3936	3662
518	3943	3654
519	3951	3647
520	3959	3640
521	3966	3632
522	3974	3625
523	3982	3617
524	3990	3610
525	3999	3604
526	4008	3597
527	4016	3590
528	4023	3582
529	4031	3574
530	4037	3566
531	4045	3558
532	4052	3550
533	4061	3544
534	4067	3535
535	4074	3527
536	4084	3521
537	4092	3514
538	4098	3505
539	4105	3497
540	4112	3489
541	4120	3482
542	4128	3474
543	4135	3466
544	4143	3459
545	4150	3451
546	4158	3444
547	4166	3436
548	4173	3428
549	4182	3421
550	4189	3413
551	4195	3404
552	4203	3397
553	4211	3390
554	4218	3382
555	4225	3374
556	4232	3366
557	4240	3359
558	4247	3351
559	4254	3342
560	4261	3334
561	4269	3327
562	4276	3319
563	4283	3311
564	4290	3303
565	4298	3295
566	4305	3288
567	4313	3281
568	4321	3273
569	4328	3265
570	4336	3257
571	4345	3251
572	4352	3243
573	4359	3235
574	4367	3227
575	4373	3219
576	4380	3211
577	4385	3201
578	4393	3194
579	4399	3186
580	4406	3178
581	4415	3170
582	4423	3163
583	4431	3156
584	4438	3148
585	4445	3140
586	4452	3132
587	4460	3125
588	4469	3118
589	4478	3111
590	4486	3104
591	4495	3098
592	4502	3090
593	4511	3083
594	4520	3077
595	4527	3069
596	4536	3062
